Date,^GSPC,^^GSPC,0,5,10,15,20,25,30,35,40
2016-05-19,-0.0037135946,-0.0037135946,-0.0025482422,0.0002302062,-0.000502264,-0.0022122525,-0.0002850851,-0.0003099042,-0.0009860146,-0.0052582864,-0.0037580812
2016-05-20,0.0060014591,0.0060014591,0.0043773567,0.0017700191,0.0056278622,0.0086301491,0.0018691905,0.0093315644,0.0064253886,0.0069002947,0.0071305824
2016-05-23,-0.0020876364,-0.0020876364,0.0005958106,0.0053899707,-0.000502264,0.0019822167,0.0052966047,0.0028597983,0.0032989271,0.0019563939,0.0013394109
2016-05-24,0.0135886378,0.0135886378,0.0114423037,0.010569334,0.0125536565,0.0081942352,0.0092364401,0.0090688616,0.0090227909,0.0119595174,0.0092468821
2016-05-25,0.0069505294,0.0069505294,1.66147947311E-06,0.0047650971,0.0021150035,0.0039194319,0.0049363975,0.0042508608,0.0119800493,0.0062239785,0.0048675602
2016-05-26,-0.0002104659,-0.0002104659,0.0004224286,0.0013181716,0.0003126106,0.0016131215,0.0028820811,0.0007327725,-0.0009860146,-0.0008837078,-0.0004956964
2016-05-27,0.004277695,0.004277695,0.0044511454,0.0043987804,0.0036549543,0.0059467731,0.0035536145,0.007263626,0.0022520819,0.0030290876,0.0031134398
2016-05-31,-0.0010057689,-0.0010057689,-0.0024900516,-5.87245449424E-06,-0.000502264,0.0006786715,0.0001950301,0.0025011732,0.0050853165,0.0016354267,0.0013665194
2016-06-01,0.0011343987,0.0011343987,0.0070907641,0.0054749325,0.0078133522,0.0063103056,0.004158936,0.0055191778,0.0047954936,0.0039459933,0.0048672403
2016-06-02,0.0028206963,0.0028206963,0.0043739341,0.00572338,0.0012511516,0.0052596265,0.0050163069,0.0048691742,0.0085835066,0.0074565932,0.0062912949
2016-06-03,-0.0029160623,-0.0029160623,0.0023786679,0.002483723,-0.000502264,0.0002650414,0.0011738319,-0.0003099042,0.0002018628,-0.0017467905,-0.000377561
