Date,Adj Close
2016-11-14,53.57
2016-11-15,53.32
2016-11-16,52.64
2016-11-17,53.57
2016-11-18,55.02
2016-11-21,53.54
2016-11-22,53.82
2016-11-23,53.41
2016-11-24,52.51
2016-11-25,51.67
2016-11-28,51.31
2016-11-29,51.93
2016-11-30,52.35
2016-12-01,52.62
2016-12-02,52.92
2016-12-05,53.06
2016-12-06,52.23
2016-12-07,51.77
2016-12-08,51.68
2016-12-09,53.12
2016-12-12,52.8
2016-12-13,53.1
2016-12-14,52.45
2016-12-15,52.15
2016-12-16,53.17
2016-12-19,52.15
2016-12-20,52.41
2016-12-21,52.9
2016-12-22,53.2
2016-12-23,52.78
2016-12-26,52.78
2016-12-27,52.78
2016-12-28,53.99
2016-12-29,54.13
2016-12-30,53.36
